Year,Scope,County_GEOID,County_Name,Elev_Band,Elev_Min_m,Elev_Max_m,Population,Pct_of_State,WorldPop_Source
2013,County,12069,Lake,50+ m,50,112.47,31451,0.16,WorldPop_PPP_Unconstrained_v2
2013,County,12071,Lee,0-1 m,0,1.0,33894,0.17,WorldPop_PPP_Unconstrained_v2
2013,County,12071,Lee,1-2 m,1,2.0,143708,0.73,WorldPop_PPP_Unconstrained_v2
2013,County,12071,Lee,2-5 m,2,5.0,331012,1.68,WorldPop_PPP_Unconstrained_v2
2013,County,12071,Lee,5-10 m,5,10.0,177050,0.9,WorldPop_PPP_Unconstrained_v2
2013,County,12071,Lee,10-25 m,10,25.0,19,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12073,Leon,2-5 m,2,5.0,154,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12073,Leon,5-10 m,5,10.0,6441,0.03,WorldPop_PPP_Unconstrained_v2
2013,County,12073,Leon,10-25 m,10,25.0,56320,0.29,WorldPop_PPP_Unconstrained_v2
2013,County,12073,Leon,25-50 m,25,50.0,152010,0.77,WorldPop_PPP_Unconstrained_v2
2013,County,12073,Leon,50+ m,50,112.47,72380,0.37,WorldPop_PPP_Unconstrained_v2
2013,County,12075,Levy,0-1 m,0,1.0,539,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12075,Levy,1-2 m,1,2.0,778,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12075,Levy,2-5 m,2,5.0,2959,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12075,Levy,5-10 m,5,10.0,5540,0.03,WorldPop_PPP_Unconstrained_v2
2013,County,12075,Levy,10-25 m,10,25.0,24766,0.13,WorldPop_PPP_Unconstrained_v2
2013,County,12075,Levy,25-50 m,25,50.0,8259,0.04,WorldPop_PPP_Unconstrained_v2
2013,County,12077,Liberty,0-1 m,0,1.0,2,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12077,Liberty,1-2 m,1,2.0,1,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12077,Liberty,2-5 m,2,5.0,31,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12077,Liberty,5-10 m,5,10.0,240,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12077,Liberty,10-25 m,10,25.0,1364,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12077,Liberty,25-50 m,25,50.0,4314,0.02,WorldPop_PPP_Unconstrained_v2
2013,County,12077,Liberty,50+ m,50,112.47,2873,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12079,Madison,5-10 m,5,10.0,2,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12079,Madison,10-25 m,10,25.0,943,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12079,Madison,25-50 m,25,50.0,16327,0.08,WorldPop_PPP_Unconstrained_v2
2013,County,12079,Madison,50+ m,50,112.47,2112,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12081,Manatee,0-1 m,0,1.0,20521,0.1,WorldPop_PPP_Unconstrained_v2
2013,County,12081,Manatee,1-2 m,1,2.0,21268,0.11,WorldPop_PPP_Unconstrained_v2
2013,County,12081,Manatee,2-5 m,2,5.0,102445,0.52,WorldPop_PPP_Unconstrained_v2
2013,County,12081,Manatee,5-10 m,5,10.0,161462,0.82,WorldPop_PPP_Unconstrained_v2
2013,County,12081,Manatee,10-25 m,10,25.0,33440,0.17,WorldPop_PPP_Unconstrained_v2
2013,County,12081,Manatee,25-50 m,25,50.0,3963,0.02,WorldPop_PPP_Unconstrained_v2
2013,County,12083,Marion,0-1 m,0,1.0,10,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12083,Marion,1-2 m,1,2.0,38,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12083,Marion,2-5 m,2,5.0,83,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12083,Marion,5-10 m,5,10.0,1712,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12083,Marion,10-25 m,10,25.0,207678,1.05,WorldPop_PPP_Unconstrained_v2
2013,County,12083,Marion,25-50 m,25,50.0,146146,0.74,WorldPop_PPP_Unconstrained_v2
2013,County,12083,Marion,50+ m,50,112.47,1160,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12085,Martin,0-1 m,0,1.0,10655,0.05,WorldPop_PPP_Unconstrained_v2
2013,County,12085,Martin,1-2 m,1,2.0,14433,0.07,WorldPop_PPP_Unconstrained_v2
2013,County,12085,Martin,2-5 m,2,5.0,93186,0.47,WorldPop_PPP_Unconstrained_v2
2013,County,12085,Martin,5-10 m,5,10.0,27479,0.14,WorldPop_PPP_Unconstrained_v2
2013,County,12085,Martin,10-25 m,10,25.0,6211,0.03,WorldPop_PPP_Unconstrained_v2
2013,County,12086,Miami-Dade,0-1 m,0,1.0,237655,1.2,WorldPop_PPP_Unconstrained_v2
2013,County,12086,Miami-Dade,1-2 m,1,2.0,1378573,6.98,WorldPop_PPP_Unconstrained_v2
2013,County,12086,Miami-Dade,2-5 m,2,5.0,916145,4.64,WorldPop_PPP_Unconstrained_v2
2013,County,12086,Miami-Dade,5-10 m,5,10.0,20068,0.1,WorldPop_PPP_Unconstrained_v2
2013,County,12086,Miami-Dade,10-25 m,10,25.0,76,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12087,Monroe,0-1 m,0,1.0,46295,0.23,WorldPop_PPP_Unconstrained_v2
2013,County,12087,Monroe,1-2 m,1,2.0,17339,0.09,WorldPop_PPP_Unconstrained_v2
2013,County,12087,Monroe,2-5 m,2,5.0,7337,0.04,WorldPop_PPP_Unconstrained_v2
2013,County,12087,Monroe,5-10 m,5,10.0,25,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12087,Monroe,10-25 m,10,25.0,20,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12089,Nassau,0-1 m,0,1.0,3272,0.02,WorldPop_PPP_Unconstrained_v2
2013,County,12089,Nassau,1-2 m,1,2.0,3215,0.02,WorldPop_PPP_Unconstrained_v2
2013,County,12089,Nassau,2-5 m,2,5.0,23818,0.12,WorldPop_PPP_Unconstrained_v2
2013,County,12089,Nassau,5-10 m,5,10.0,31686,0.16,WorldPop_PPP_Unconstrained_v2
2013,County,12089,Nassau,10-25 m,10,25.0,14744,0.07,WorldPop_PPP_Unconstrained_v2
2013,County,12089,Nassau,25-50 m,25,50.0,1965,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12091,Okaloosa,0-1 m,0,1.0,4833,0.02,WorldPop_PPP_Unconstrained_v2
2013,County,12091,Okaloosa,1-2 m,1,2.0,7348,0.04,WorldPop_PPP_Unconstrained_v2
2013,County,12091,Okaloosa,2-5 m,2,5.0,38377,0.19,WorldPop_PPP_Unconstrained_v2
2013,County,12091,Okaloosa,5-10 m,5,10.0,40382,0.2,WorldPop_PPP_Unconstrained_v2
2013,County,12091,Okaloosa,10-25 m,10,25.0,39568,0.2,WorldPop_PPP_Unconstrained_v2
2013,County,12091,Okaloosa,25-50 m,25,50.0,20050,0.1,WorldPop_PPP_Unconstrained_v2
2013,County,12091,Okaloosa,50+ m,50,112.47,32959,0.17,WorldPop_PPP_Unconstrained_v2
2013,County,12093,Okeechobee,1-2 m,1,2.0,1,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12093,Okeechobee,2-5 m,2,5.0,4648,0.02,WorldPop_PPP_Unconstrained_v2
2013,County,12093,Okeechobee,5-10 m,5,10.0,26947,0.14,WorldPop_PPP_Unconstrained_v2
2013,County,12093,Okeechobee,10-25 m,10,25.0,9714,0.05,WorldPop_PPP_Unconstrained_v2
2013,County,12095,Orange,0-1 m,0,1.0,15,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12095,Orange,1-2 m,1,2.0,29,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12095,Orange,2-5 m,2,5.0,226,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12095,Orange,5-10 m,5,10.0,1765,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12095,Orange,10-25 m,10,25.0,306868,1.55,WorldPop_PPP_Unconstrained_v2
2013,County,12095,Orange,25-50 m,25,50.0,917933,4.65,WorldPop_PPP_Unconstrained_v2
2013,County,12095,Orange,50+ m,50,112.47,6301,0.03,WorldPop_PPP_Unconstrained_v2
2013,County,12097,Osceola,2-5 m,2,5.0,13,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12097,Osceola,5-10 m,5,10.0,103,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12097,Osceola,10-25 m,10,25.0,283618,1.44,WorldPop_PPP_Unconstrained_v2
2013,County,12097,Osceola,25-50 m,25,50.0,23598,0.12,WorldPop_PPP_Unconstrained_v2
2013,County,12097,Osceola,50+ m,50,112.47,113,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12099,Palm Beach,0-1 m,0,1.0,21668,0.11,WorldPop_PPP_Unconstrained_v2
2013,County,12099,Palm Beach,1-2 m,1,2.0,57429,0.29,WorldPop_PPP_Unconstrained_v2
2013,County,12099,Palm Beach,2-5 m,2,5.0,774271,3.92,WorldPop_PPP_Unconstrained_v2
2013,County,12099,Palm Beach,5-10 m,5,10.0,526166,2.66,WorldPop_PPP_Unconstrained_v2
2013,County,12099,Palm Beach,10-25 m,10,25.0,1022,0.01,WorldPop_PPP_Unconstrained_v2
